VAF,freq,cumfreq,invVAF,prediction,residuals
0.121,3,612,8.264462809917356,669.4393476419226,-57.43934764192261
0.122,7,609,8.19672131147541,658.3727101275223,-49.37271012752228
0.123,5,602,8.130081300813009,647.4860179385597,-45.48601793855971
0.124,8,597,8.064516129032258,636.7749175590963,-39.77491755909625
0.125,9,589,8.0,626.2351947857043,-37.235194785704266
0.126,0,580,7.936507936507937,615.8627691991917,-35.86276919919169
0.127,14,580,7.874015748031496,605.653688897506,-25.65368889750596
0.128,8,566,7.8125,595.604125475534,-29.604125475534033
0.129,3,558,7.751937984496124,585.7103692383988,-27.710369238398812
0.13,7,555,7.692307692307692,575.9688246356811,-20.96882463568113
0.131,9,548,7.633587786259541,566.3760059047606,-18.376005904760632
0.132,6,539,7.575757575757575,556.9285329121875,-17.928532912187507
0.133,4,533,7.518796992481203,547.6231271826607,-14.62312718266071
0.134,5,529,7.462686567164178,538.4566081058131,-9.456608105813075
0.135,9,524,7.4074074074074066,529.4258893115856,-5.425889311585593
0.136,5,515,7.352941176470588,520.5279752055086,-5.5279752055085964
0.137,4,510,7.2992700729927,511.7599576557246,-1.7599576557245769
0.138,9,506,7.246376811594202,503.1190128240534,2.8809871759465864
0.139,7,497,7.194244604316546,494.6023981338452,2.397601866154787
0.14,5,490,7.142857142857142,486.2074493677828,3.792550632217228
0.141,1,485,7.092198581560284,477.93157788918234,7.068422110817664
0.142,15,484,7.042253521126761,469.7722679807029,14.227732019297093
0.143,8,469,6.993006993006993,461.72707429471967,7.272925705280329
0.144,0,461,6.944444444444445,453.79361940993067,7.20638059006933
0.145,9,461,6.8965517241379315,445.96959148906984,15.030408510930158
0.146,10,452,6.849315068493151,438.25274203287836,13.74725796712164
0.147,6,442,6.802721088435375,430.6408837257506,11.359116274249402
0.148,6,436,6.756756756756757,423.13188836871916,12.86811163128084
0.149,8,430,6.7114093959731544,415.72368489567475,14.27631510432525
0.15,7,422,6.666666666666667,408.41425746893765,13.585742531062351
0.151,3,415,6.622516556291391,401.2016436505016,13.79835634949842
0.152,2,412,6.578947368421053,394.0839326454662,17.916067354533823
0.153,4,410,6.5359477124183005,387.0592636143526,22.940736385647426
0.154,8,406,6.4935064935064934,380.12582405117564,25.87417594882436
0.155,5,398,6.451612903225807,373.28184822429785,24.718151775702154
0.156,7,393,6.410256410256411,366.5256156772517,26.47438432274828
0.157,9,386,6.369426751592357,359.8554497868559,26.1445502131441
0.158,8,377,6.329113924050633,353.2697163760852,23.730283623914772
0.159,3,369,6.289308176100628,346.7668223792865,22.23317762071349
0.16,7,366,6.25,340.34521455744795,25.654785442552054
0.161,5,359,6.211180124223603,334.0033782613465,24.996621738653516
0.162,11,354,6.172839506172839,327.73983624050544,26.26016375949456
0.163,5,343,6.134969325153374,321.5531474959938,21.446852504006188
0.164,8,338,6.097560975609756,315.4419061751957,22.558093824804303
0.165,5,330,6.0606060606060606,309.40474050677085,20.59525949322915
0.166,8,325,6.024096385542168,303.4403117741101,21.559688225889886
0.167,9,317,5.988023952095808,297.5473133256729,19.452686674327083
0.168,0,308,5.952380952380952,291.72446962066954,16.275530379330462
0.169,9,308,5.9171597633136095,285.9705353086249,22.029464691375097
0.17,3,299,5.88235294117647,280.28429434142765,18.715705658572347
0.171,5,296,5.847953216374268,274.66455911653685,21.33544088346315
0.172,5,291,5.813953488372094,269.1101696500752,21.889830349924807
0.173,4,286,5.780346820809249,263.61999277860133,22.38000722139867
0.174,6,282,5.74712643678161,258.1929213884089,23.807078611591123
0.175,8,276,5.714285714285714,252.82787367124706,23.172126328752938
0.176,7,268,5.6818181818181825,247.5237924054168,20.4762075945832
0.177,6,261,5.649717514124294,242.27964426123418,18.720355738765818
0.178,7,255,5.617977528089888,237.09441912990764,17.905580870092365
0.179,4,248,5.58659217877095,231.96712947490863,16.03287052509137
0.18,9,244,5.555555555555555,226.89680970496525,17.10319029503475
0.181,2,235,5.524861878453039,221.882515567839,13.117484432161007
0.182,8,233,5.4945054945054945,216.9233235640877,16.076676435912304
0.183,5,225,5.46448087431694,212.01833038004952,12.98166961995048
0.184,9,220,5.434782608695652,207.16665233931616,12.833347660683842
0.185,3,211,5.405405405405405,202.36742487199604,8.632575128003964
0.186,4,208,5.376344086021505,197.61980200109875,10.380197998901252
0.187,9,204,5.347593582887701,192.9229558453983,11.077044154601708
0.188,3,195,5.319148936170213,188.27607613816267,6.723923861837335
0.189,7,192,5.291005291005291,183.6783697611624,8.3216302388376
0.19,9,185,5.2631578947368425,179.1290602933937,5.870939706606293
0.191,2,176,5.2356020942408374,174.62738757397847,1.3726124260215329
0.192,6,174,5.208333333333333,170.17260727872392,3.827392721276084
0.193,6,168,5.181347150259067,165.76399050984506,2.2360094901549417
0.194,6,162,5.154639175257731,161.40082339837727,0.5991766016227302
0.195,4,156,5.128205128205128,157.08240671882203,-1.0824067188220283
0.196,4,152,5.1020408163265305,152.80805551558885,-0.8080555155888476
0.197,6,148,5.0761421319796955,148.57709874081485,-0.5770987408148471
0.198,2,142,5.05050505050505,144.38887890315965,-2.3888789031596502
0.199,4,140,5.025125628140703,140.2427517271895,-0.2427517271894999
0.2,9,136,5.0,136.13808582297915,-0.13808582297914995
0.201,0,127,4.975124378109452,132.07426236557671,-5.074262365576715
0.202,3,127,4.9504950495049505,128.05067478399027,-1.0506747839902744
0.203,6,124,4.926108374384236,124.06672845936512,-0.06672845936512317
0.204,3,118,4.901960784313726,120.12184043204049,-2.121840432040486
0.205,4,115,4.878048780487805,116.21543911717731,-1.2154391171773113
0.206,2,111,4.8543689320388355,112.34696402867219,-1.3469640286721898
0.207,5,109,4.830917874396135,108.51586551107036,0.48413448892964084
0.208,5,104,4.8076923076923075,104.72160447921469,-0.7216044792146903
0.209,4,99,4.784688995215311,100.96365216536732,-1.9636521653673213
0.21,5,95,4.761904761904762,97.24148987355652,-2.2414898735565174
0.211,2,90,4.739336492890995,93.55460874090984,-3.554608740909842
0.212,6,88,4.716981132075472,89.90250950574098,-1.90250950574098
0.213,3,82,4.694835680751174,86.28470228216992,-4.284702282169917
0.214,3,79,4.672897196261682,82.7007063410621,-3.7007063410621015
0.215,2,76,4.651162790697675,79.15004989708093,-3.150049897080933
0.216,5,74,4.62962962962963,75.63226990165509,-1.6322699016550928
0.217,4,69,4.6082949308755765,72.14691184167104,-3.1469118416710415
0.218,2,65,4.587155963302752,68.69352954370507,-3.6935295437050684
0.219,6,63,4.566210045662101,65.27168498362015,-2.2716849836201476
0.22,2,57,4.545454545454546,61.8809481013542,-4.8809481013542
0.221,2,55,4.524886877828054,58.5208966207376,-3.5208966207376022
0.222,3,53,4.504504504504505,55.19111587418074,-2.1911158741807384
0.223,4,50,4.484304932735426,51.89119863207716,-1.8911986320771632
0.224,5,46,4.464285714285714,48.62074493677826,-2.6207449367782587
0.225,5,41,4.444444444444445,45.37936194099305,-4.37936194099305
0.226,3,36,4.424778761061947,42.1666637504802,-6.166663750480197
0.227,5,33,4.405286343612334,38.982271270897016,-5.982271270897016
0.228,3,28,4.385964912280701,35.82581205867859,-7.8258120586785935
0.229,1,25,4.366812227074235,32.69692017582457,-7.696920175824573
0.23,2,24,4.3478260869565215,29.595236048473655,-5.595236048473655
0.231,4,22,4.329004329004329,26.52040632915174,-4.52040632915174
0.232,2,18,4.310344827586206,23.472083762582493,-5.472083762582493
0.233,1,16,4.291845493562231,20.449927054953857,-4.449927054953857
0.234,4,15,4.273504273504273,17.453600746535734,-2.4536007465357343
0.235,1,11,4.25531914893617,14.48277508755092,-3.4827750875509196
0.236,2,10,4.237288135593221,11.537125917201621,-1.537125917201621
