VAF,freq,cumfreq,invVAF,prediction,residuals
0.121,4,429,8.264462809917356,427.169124873173,1.8308751268269816
0.122,6,425,8.19672131147541,420.1075055062104,4.892494493789627
0.123,4,419,8.130081300813009,413.1607092183856,5.839290781614409
0.124,9,415,8.064516129032258,406.32595803197717,8.674041968022834
0.125,11,406,8.0,399.6005628645513,6.399437135448693
0.126,0,395,7.936507936507937,392.9819200013704,2.0180799986296165
0.127,5,395,7.874015748031496,386.46750773445996,8.532492265540043
0.128,12,390,7.8125,380.05488315922,9.945116840779974
0.129,3,378,7.751937984496124,373.74167912003026,4.2583208799697445
0.13,12,375,7.692307692307692,367.5256012968281,7.474398703171914
0.131,3,363,7.633587786259541,361.40442542512517,1.5955745748748313
0.132,5,360,7.575757575757575,355.37599464238747,4.624005357612532
0.133,7,355,7.518796992481203,349.4382169541271,5.5617830458729145
0.134,8,348,7.462686567164178,343.5890628134526,4.4109371865474145
0.135,5,340,7.4074074074074066,337.8265628081955,2.17343719180451
0.136,5,335,7.352941176470588,332.1488054500746,2.851194549925424
0.137,1,330,7.2992700729927,326.5539350606853,3.446064939314681
0.138,4,329,7.246376811594202,321.04014974940316,7.959850250596844
0.139,6,325,7.194244604316546,315.6056994785712,9.394300521428818
0.14,4,319,7.142857142857142,310.24888421160813,8.751115788391871
0.141,3,315,7.092198581560284,304.96805213992127,10.03194786007873
0.142,7,312,7.042253521126761,299.76159798473697,12.238402015263034
0.143,12,305,6.993006993006993,294.62796137018455,10.37203862981545
0.144,0,293,6.944444444444445,289.56562526416764,3.434374735832364
0.145,7,293,6.8965517241379315,284.573114483751,8.426885516249001
0.146,5,286,6.849315068493151,279.6489942619702,6.351005738029812
0.147,5,281,6.802721088435375,274.7918688731387,6.2081311268613035
0.148,7,276,6.756756756756757,270.00038031388607,5.999619686113931
0.149,7,269,6.7114093959731544,265.27320703730794,3.726792962692059
0.15,10,262,6.666666666666667,260.6090627377509,1.3909372622491105
0.151,5,252,6.622516556291391,256.0066951838833,-4.006695183883323
0.152,7,247,6.578947368421053,251.46488509782984,-4.464885097829836
0.153,6,240,6.5359477124183005,246.9824450782606,-6.982445078260611
0.154,11,234,6.4935064935064934,242.5582185654391,-8.558218565439091
0.155,4,223,6.451612903225807,238.19107884633146,-15.191078846331465
0.156,5,219,6.410256410256411,233.87992809798158,-14.879928097981576
0.157,6,214,6.369426751592357,229.62369646744506,-15.623696467445058
0.158,4,208,6.329113924050633,225.42134118666212,-17.42134118666212
0.159,3,204,6.289308176100628,221.2718457207318,-17.27184572073179
0.16,5,201,6.25,217.1742189481257,-16.174218948125713
0.161,3,196,6.211180124223603,213.12749437145257,-17.12749437145257
0.162,1,193,6.172839506172839,209.13072935745438,-16.130729357454385
0.163,3,192,6.134969325153374,205.18300440497768,-13.18300440497768
0.164,2,189,6.097560975609756,201.28342243972628,-12.28342243972628
0.165,2,187,6.0606060606060606,197.43110813465972,-10.431108134659723
0.166,1,185,6.024096385542168,193.6252072549554,-8.625207254955399
