VAF,freq,cumfreq,invVAF,prediction,residuals
0.121,7,564,8.264462809917356,629.8114156195808,-65.81141561958077
0.122,6,557,8.19672131147541,619.3998754798438,-62.399875479843786
0.123,7,551,8.130081300813009,609.1576286757125,-58.157628675712544
0.124,11,544,8.064516129032258,599.08057940068,-55.080579400679994
0.125,8,533,8.0,589.1647629140481,-56.16476291404808
0.126,0,525,7.936507936507937,579.4063403399024,-54.406340339902385
0.127,9,525,7.874015748031496,569.8015937118062,-44.80159371180616
0.128,7,516,7.8125,560.346921249774,-44.34692124977403
0.129,7,509,7.751937984496124,551.0388328569205,-42.03883285692052
0.13,11,502,7.692307692307692,541.8739458239571,-39.873945823957115
0.131,5,491,7.633587786259541,532.8489807304284,-41.848980730428366
0.132,8,486,7.575757575757575,523.9607575322561,-37.96075753225614
0.133,4,478,7.518796992481203,515.2061918257857,-37.20619182578571
0.134,5,474,7.462686567164178,506.5822912791133,-32.58229127911329
0.135,6,469,7.4074074074074066,498.0861522220212,-29.086152222021212
0.136,5,463,7.352941176470588,489.714956386357,-26.714956386357017
0.137,7,458,7.2992700729927,481.46596778916955,-23.465967789169554
0.138,7,451,7.246376811594202,473.33652975136175,-22.336529751361752
0.139,5,444,7.194244604316546,465.3240620450332,-21.3240620450332
0.14,4,439,7.142857142857142,457.4260581630807,-18.42605816308071
0.141,2,435,7.092198581560284,449.6400827049859,-14.6400827049859
0.142,6,433,7.042253521126761,441.9637688730612,-8.963768873061213
0.143,6,427,6.993006993006993,434.3948160737509,-7.394816073750917
0.144,0,421,6.944444444444445,426.93098761887546,-5.930987618875463
0.145,3,421,6.8965517241379315,419.5701085219983,1.4298914780017071
0.146,11,418,6.849315068493151,412.3100633853524,5.689936614647593
0.147,4,407,6.802721088435375,405.1487943730145,1.851205626985518
0.148,4,403,6.756756756756757,398.0842992662487,4.915700733751294
0.149,7,399,6.7114093959731544,391.11462959715766,7.885370402842341
0.15,7,392,6.666666666666667,384.2378888569879,7.762111143012078
0.151,6,385,6.622516556291391,377.45223077562827,7.547769224371734
0.152,6,379,6.578947368421053,370.75585766902344,8.244142330976558
0.153,3,373,6.5359477124183005,364.1470188513937,8.852981148606318
0.154,6,370,6.4935064935064934,357.6240091093177,12.375990890682317
0.155,5,364,6.451612903225807,351.1851672348815,12.814832765118524
