VAF,freq,cumfreq,invVAF,prediction,residuals
0.121,8,413,8.264462809917356,419.9150857404541,-6.915085740454117
0.122,5,405,8.19672131147541,412.9733843643892,-7.973384364389176
0.123,10,400,8.130081300813009,406.1445561814312,-6.144556181431199
0.124,7,390,8.064516129032258,399.42587038852076,-9.425870388520764
0.125,5,383,8.0,392.81468356829697,-9.81468356829697
0.126,0,378,7.936507936507937,386.3084362214101,-8.30843622141009
0.127,8,378,7.874015748031496,379.90464946266314,-1.9046494626631443
0.128,7,370,7.8125,373.6009218720216,-3.6009218720216154
0.129,5,363,7.751937984496124,367.3949264920876,-4.39492649208762
0.13,4,358,7.692307692307692,361.2844079641527,-3.284407964152706
0.131,5,354,7.633587786259541,355.26717979542286,-1.2671797954228623
0.132,5,349,7.575757575757575,349.3411217504617,-0.3411217504616957
0.133,6,344,7.518796992481203,343.50417736031204,0.49582263968795814
0.134,7,338,7.462686567164178,337.75435154314954,0.24564845685046066
0.135,2,331,7.4074074074074066,332.08970833068577,-1.0897083306857667
0.136,5,329,7.352941176470588,326.50836869487597,2.491631305124031
0.137,5,324,7.2992700729927,321.00850846980785,2.9914915301921496
0.138,6,319,7.246376811594202,315.58835636394366,3.41164363605634
0.139,8,313,7.194244604316546,310.24619205816384,2.7538079418361576
0.14,9,305,7.142857142857142,304.9803443853237,0.01965561467631005
0.141,3,296,7.092198581560284,299.78918958727576,-3.7891895872757573
0.142,5,293,7.042253521126761,294.6711496455382,-1.6711496455382076
0.143,12,288,6.993006993006993,289.62469068200676,-1.624690682006758
0.144,0,276,6.944444444444445,284.6483214263022,-8.648321426302175
0.145,5,276,6.8965517241379315,279.74059174653837,-3.740591746538371
0.146,3,271,6.849315068493151,274.90009124047,-3.900091240469976
0.147,1,268,6.802721088435375,270.1254478841439,-2.1254478841439095
0.148,6,267,6.756756756756757,265.41532673533584,1.5846732646641613
0.149,5,261,6.7114093959731544,260.7684286891963,0.23157131080370164
0.15,8,256,6.666666666666667,256.183489283672,-0.1834892836719746
0.151,3,248,6.622516556291391,251.65927755239298,-3.659277552392979
0.152,5,245,6.578947368421053,247.1945949228414,-2.1945949228413895
0.153,6,240,6.5359477124183005,242.7882741577283,-2.7882741577282957
0.154,5,234,6.4935064935064934,238.43917833761674,-4.439178337616738
0.155,3,229,6.451612903225807,234.14619988292603,-5.146199882926027
0.156,2,226,6.410256410256411,229.90825961355176,-3.9082596135517633
0.157,1,224,6.369426751592357,225.72430584442435,-1.7243058444243502
0.158,4,223,6.329113924050633,221.59331351541243,1.406686484587567
0.159,5,219,6.289308176100628,217.51428335406104,1.4857166459389646
0.16,5,214,6.25,213.48624106972662,0.5137589302733829
0.161,0,209,6.211180124223603,209.50823657774416,-0.5082365777441566
0.162,7,209,6.172839506172839,205.57934325232932,3.4206567476706766
0.163,0,202,6.134969325153374,201.69865720698098,0.30134279301901756
0.164,6,202,6.097560975609756,197.86529660121005,4.134703398789952
0.165,2,196,6.0606060606060606,194.07840097247873,1.9215990275212675
0.166,3,194,6.024096385542168,190.33713059228631,3.6628694077136856
0.167,9,191,5.988023952095808,186.64066584538966,4.3593341546103375
0.168,0,182,5.952380952380952,182.98820663119417,-0.9882066311941742
0.169,6,182,5.9171597633136095,179.3789717863975,2.6210282136025
0.17,1,176,5.88235294117647,175.8121985280101,0.18780147198989994
0.171,2,175,5.847953216374268,172.28714191591965,2.7128580840803522
0.172,3,173,5.813953488372094,168.80307433420248,4.196925665797522
0.173,3,170,5.780346820809249,165.3592849904241,4.640715009575899
0.174,6,167,5.74712643678161,161.95507943220645,5.044920567793554
0.175,4,161,5.714285714285714,158.58977908036834,2.410220919631655
0.176,3,157,5.6818181818181825,155.26272077798305,1.7372792220169515
0.177,2,154,5.649717514124294,151.97325635472066,2.026743645279339
0.178,4,152,5.617977528089888,148.720752205877,3.2792477941229947
0.179,2,148,5.58659217877095,145.50458888551196,2.4954111144880358
0.18,4,146,5.555555555555555,142.32416071315106,3.675839286848941
0.181,6,142,5.524861878453039,139.17887539352344,2.821124606476559
0.182,1,136,5.4945054945054945,136.06815364883673,-0.06815364883672714
0.183,1,135,5.46448087431694,132.99142886310835,2.0085711368916463
0.184,2,134,5.434782608695652,129.94814673809447,4.051853261905535
0.185,4,132,5.405405405405405,126.93776496037796,5.062235039622038
0.186,5,128,5.376344086021505,123.95975287919605,4.040247120803954
0.187,3,123,5.347593582887701,121.01359119460439,1.9864088053956124
0.188,0,120,5.319148936170213,118.09877165559342,1.9012283444065758
0.189,1,120,5.291005291005291,115.21479676778897,4.785203232211032
0.19,4,119,5.2631578947368425,112.36117951038246,6.638820489617544
0.191,2,115,5.2356020942408374,109.53744306195392,5.4625569380460774
0.192,3,113,5.208333333333333,106.74312053486327,6.256879465136734
0.193,3,110,5.181347150259067,103.9777547178979,6.022245282102105
0.194,2,107,5.154639175257731,101.24089782688058,5.759102173119416
0.195,2,105,5.128205128205128,98.53211126295068,6.467888737049321
0.196,2,103,5.1020408163265305,95.85096537824458,7.149034621755419
0.197,1,101,5.0761421319796955,93.19703924871314,7.802960751286861
0.198,3,100,5.05050505050505,90.56992045382336,9.430079546176643
0.199,1,97,5.025125628140703,87.96920486290236,9.030795137097641
0.2,3,96,5.0,85.39449642789063,10.60550357210937
0.201,0,93,4.975124378109452,82.8454069822819,10.1545930177181
0.202,2,93,4.9504950495049505,80.32155604603574,12.678443953964262
0.203,1,91,4.926108374384236,77.82257063625494,13.177429363745063
0.204,3,90,4.901960784313726,75.34808508343293,14.651914916567065
0.205,3,87,4.878048780487805,72.89774085307735,14.102259146922648
0.206,1,84,4.8543689320388355,70.47118637253115,13.52881362746885
0.207,3,83,4.830917874396135,68.06807686281138,14.931923137188619
0.208,4,80,4.8076923076923075,65.68807417530046,14.311925824699543
0.209,3,76,4.784688995215311,63.33084663312463,12.66915336687537
0.21,6,73,4.761904761904762,60.99606887706472,12.003931122935278
0.211,4,67,4.739336492890995,58.68342171584901,8.316578284150992
0.212,3,63,4.716981132075472,56.39259198068251,6.607408019317489
0.213,0,60,4.694835680751174,54.12327238387436,5.876727616125642
0.214,1,60,4.672897196261682,51.87516138142888,8.124838618571118
0.215,3,59,4.651162790697675,49.64796303947131,9.352036960528693
0.216,2,56,4.62962962962963,47.441386904383684,8.558613095616316
0.217,5,54,4.6082949308755765,45.255147876531936,8.744852123468064
0.218,3,49,4.587155963302752,43.08896608746774,5.911033912532261
0.219,4,46,4.566210045662101,40.94256678049551,5.057433219504489
0.22,2,42,4.545454545454546,38.81568019449576,3.184319805504238
0.221,1,40,4.524886877828054,36.70804145090319,3.2919585490968117
0.222,2,39,4.504504504504505,34.61939044373944,4.380609556260559
0.223,3,37,4.484304932735426,32.54947173260399,4.45052826739601
0.224,2,34,4.464285714285714,30.49803443853236,3.501965561467639
0.225,6,32,4.444444444444445,28.464832142630208,3.5351678573697924
0.226,3,26,4.424778761061947,26.449622787399708,-0.44962278739970785
0.227,2,23,4.405286343612334,24.452168580673465,-1.4521685806734652
0.228,4,21,4.385964912280701,22.4722359020764,-1.4722359020763989
0.229,3,17,4.366812227074235,20.509595211938723,-3.5095952119387235
0.23,1,14,4.3478260869565215,18.564020962584873,-4.564020962584873
0.231,0,13,4.329004329004329,16.635291511926717,-3.6352915119267166
0.232,1,13,4.310344827586206,14.723189039291412,-1.7231890392914124
0.233,1,12,4.291845493562231,12.827499463416988,-0.8274994634169879
0.234,2,11,4.273504273504273,10.948012362550045,0.051987637449954605
0.235,3,9,4.25531914893617,9.084520896584074,-0.08452089658407402
0.236,2,6,4.237288135593221,7.23682173117717,-1.2368217311771703
0.237,0,4,4.219409282700422,5.404714963790516,-1.404714963790516
0.238,3,4,4.201680672268908,3.5880040515920317,0.41199594840796827
0.239,0,1,4.184100418410042,1.7864957411692113,-0.7864957411692113
0.24,1,1,4.166666666666667,0.0,1.0
